"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Website navigation","Search","When making a search, should be able to navigate between results.","0","0","1","0","0"
"","Logout","After successful login, and arriving on the My account page, log out and assert that the title is correct.","0","0","1","0","0"
"","Affiliate account signup","Successful affiliate registration with check payee name only.","0","0","1","0","0"
"User account management","Login","After a login attempt with invalid credentials, assert that the error message is correct.","0","0","1","0","0"
"Address book management","Adding new address","After adding an address, the success message should be correct.","0","0","5","0","0"
"User account management","Changing user account information.","After changing user account information, the success message should be correct.","0","0","1","0","0"
"User account management","Login","After a login attempt with valid credentials, assert that the title is the My Account Page title.","0","0","1","0","0"
"User account management","Registration","After a registration attempt with invalid credentials, assert that the error message is correct.","0","0","1","0","0"
"Address book management","Delete address","After deleting the address, the success message should be correct.","0","0","1","0","0"
"List products by Category","Product listing","When listing all products from a product category, the products should appear.","0","0","1","0","0"
"List products by brand","Product listing","When listing all products from a brand, and sorting for descending price order, the first price should be the highest.","0","0","1","0","0"
"User account management","Registration","After a registration attempt with valid credentials assert that the title is correct.","0","0","1","0","0"
"Website UI","Registration menu","After opening the privacy policy modal, the modal title is correct.","0","0","1","0","0"
